vehicle_id,terrain_class,method,model_tag,count,success_rate,path_length_mean,risk_max_mean,risk_avg_mean,expanded_nodes_mean,planning_time_ms_mean
urban_small,slope_bumps,baseline3_ml_risk_weighted_astar,compare,3,0.6666666666666666,10.331540839928998,0.511129230260849,0.34084142840569864,9732.0,24153.4083155002
urban_small,slope_bumps,baseline3_ml_risk_weighted_astar,main,3,0.6666666666666666,10.370498631768223,0.49281565845012665,0.3324040199588707,9492.5,27381.130530000064
urban_small,slope_bumps,proposed_ml_risk_constrained_astar,compare,3,0.6666666666666666,10.291539010100276,0.5408082902431488,0.4480603238072418,1207.5,1423.6175714995625
urban_small,slope_bumps,proposed_ml_risk_constrained_astar,main,3,0.6666666666666666,10.396585928598029,0.5046208202838898,0.4403540374722088,823.5,1309.3230139998013
urban_small,steps,baseline1_2p5d_astar,none,3,1.0,10.038384658017465,0.0,0.0,63.666666666666664,1.2931906667290605
urban_small,steps,baseline2_manual_risk_weighted_astar,none,3,1.0,10.341121717160517,0.46615483562299415,0.24991828819926054,9645.0,7509.953506333356
urban_small,steps,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.169815653800638,0.26431676745414734,0.1594671584520527,6012.0,24773.678749333307
urban_small,steps,baseline3_ml_risk_weighted_astar,main,3,1.0,10.172374896797924,0.2499974618355433,0.16274300115246434,6027.0,28109.20452500007
urban_small,steps,proposed_ml_risk_constrained_astar,compare,3,1.0,10.038384658017465,0.2745464543501536,0.189701735697045,72.33333333333333,144.29607000010947
urban_small,steps,proposed_ml_risk_constrained_astar,main,3,1.0,10.038384658017465,0.2901446918646495,0.19862958694447316,78.0,169.1538993333476
urban_small,uniform_slope,baseline1_2p5d_astar,none,3,1.0,10.260648800324285,0.0,0.0,552.3333333333334,13.970491666592958
urban_small,uniform_slope,baseline2_manual_risk_weighted_astar,none,3,0.0,nan,nan,nan,nan,nan
urban_small,uniform_slope,baseline3_ml_risk_weighted_astar,compare,3,0.3333333333333333,10.300400097785952,0.5423879623413086,0.3361861238495183,10059.0,22438.055282000278
urban_small,uniform_slope,baseline3_ml_risk_weighted_astar,main,3,0.3333333333333333,10.3552576863681,0.5595512390136719,0.36203418781951036,11118.0,25676.64651799987
urban_small,uniform_slope,proposed_ml_risk_constrained_astar,compare,3,0.3333333333333333,10.493617482351096,0.5648790001869202,0.45883977496571826,2732.0,3625.1830349997363
urban_small,uniform_slope,proposed_ml_risk_constrained_astar,main,3,0.3333333333333333,10.480150893977513,0.5350818634033203,0.4516022960454161,3230.0,4807.911449999665
